date,modelAcc,bpiAcc,upsetAcc
2015-01-13,0.75,0.714285714
2015-01-14,0.691176470588235,0.735294117647059
2015-01-15,0.9,0.78
2015-01-16,1,0.857142857142857
2015-01-17,0.910344827586207,0.641379310344828
2015-01-18,0.944444444444444,0.555555555555556
2015-01-19,0.90625,0.65625
2015-01-20,1,0.65
2015-01-21,0.948717948717949,0.666666666666667
2015-01-22,0.975308641975309,0.691358024691358
2015-01-23,1,1
2015-01-24,0.708029197080292,0.678832116788321,0.136363636363636
2015-01-25,0.846153846153846,0.846153846153846,0
2015-01-26,0.666666666666667,0.625,0.222222222222222
2015-01-27,0.703703703703704,0.703703703703704,0
2015-01-28,0.666666666666667,0.622222222222222,0.176470588235294
2015-01-29,0.793650793650794,0.761904761904762,0.2
2015-01-30,0.666666666666667,0.75,0
2015-01-31,0.721854304635762,0.675496688741722,0.204081632653061
2015-02-02,0.842105263157895,0.736842105263158,0.4
2015-02-03,0.3125,0.6875,1
2015-02-04,0.729166666666667,0.708333333333333,0.0714285714285714
2015-02-05,0.672413793103448,0.655172413793103,0.1
2015-02-06,0.5,0.428571428571429,0.125
2015-02-07,0.569444444444444,0.701388888888889,0.651162790697674
2015-02-08,0.647058823529412,0.647058823529412,0.333333333333333
2015-02-09,0.545454545454545,0.5,0.0909090909090909
2015-02-10,0.71875,0.875,0
2015-02-11,0.595238095238095,0.738095238095238,0.363636363636364
2015-02-12,0.564516129032258,0.661290322580645,0.19047619047619
2015-02-13,0.733333333333333,0.666666666666667,0.2
2015-02-14,0.63768115942029,0.63768115942029,0.28
2015-02-15,0.708333333333333,0.75,0.333333333333333
2015-02-16,0.541666666666667,0.875,0.333333333333333
2015-02-17,0.772727272727273,0.863636363636364,0
2015-02-18,0.8,0.8,0.5
2015-02-19,0.723076923076923,0.753846153846154,0.3125
2015-02-20,0.857142857142857,0.857142857142857,0
2015-02-21,0.773722627737226,0.81021897810219,0.461538461538462
2015-02-22,0.481481481481482,0.592592592592593,0.0909090909090909
2015-02-23,0.736842105263158,0.789473684210526,0.5
2015-02-24,0.545454545454545,0.681818181818182,0
2015-02-25,0.705882352941176,0.725490196078431,0.357142857142857
2015-02-26,0.634920634920635,0.603174603174603,0.24
2015-02-27,0.7,0.7,0
2015-02-28,0.671140939597315,0.711409395973154,0.27906976744186
2015-03-01,0.733333333333333,0.466666666666667,0.5
2015-03-02,0.705882352941176,0.529411764705882,0.5
2015-03-03,0.758620689655172,0.586206896551724,0.5
2015-03-04,0.619047619047619,0.547619047619048,0.263157894736842
2015-03-05,0.701754385964912,0.719298245614035,0.375
2015-03-06,0.6,0.566666666666667,0.230769230769231
2015-03-07,0.672727272727273,0.7,0.303030303030303
2015-03-08,0.636363636363636,0.727272727272727,0.166666666666667
2015-03-09,0.769230769230769,0.846153846153846,0
2015-03-10,0.6,0.5,0.4
2015-03-11,0.727272727272727,0.727272727272727,0.333333333333333
2015-03-12,0.783333333333333,0.8,0.0833333333333333
2015-03-13,0.704545454545455,0.613636363636364,0.294117647058824
2015-03-14,0.64,0.76,0.333333333333333
2015-03-16,1,1,NaN
2015-03-17,0.882352941176471,0.764705882352941,0.75
2015-03-18,0.52,0.6,0.2
2015-03-19,0.764705882352941,0.764705882352941,0.25
2015-03-20,0.944444444444444,0.888888888888889,0.5
2015-03-21,0.461538461538462,0.615384615384615,0.2
2015-03-22,0.727272727272727,0.727272727272727,0.333333333333333
2015-03-23,0.6,0.6,0.25
2015-03-24,0.5,0.5,1
2015-03-25,0.8,0.6,0.5
2015-03-26,0.8,0.8,1
2015-03-27,0.8,0.6,0.5
2015-03-28,0.666666666666667,0.666666666666667,1
2015-03-29,1,0,1
2015-03-30,0,0,0
2015-03-31,0.5,0.75,1
2015-04-01,0,0,0
2015-04-02,1,1,NaN
2015-04-04,0.5,0.5,0
2015-04-06,0,0,0
2015-11-13,0.909090909090909,0.772727272727273,0.6
2015-12-14,0.777777777777778,0.777777777777778,0
2015-12-15,0.735294117647059,0.764705882352941,0.25
2015-12-16,0.869565217391304,0.782608695652174,0.8
2015-12-17,0.8,0.8,0.5
2015-12-18,0.705882352941176,0.705882352941177,0.5
2015-12-19,0.684210526315789,0.684210526315789,0.233333333333333
2015-12-20,0.615384615384615,0.5,0.307692307692308
2015-12-21,0.8,0.8,0.444444444444444
2015-12-22,0.824074074074074,0.787037037037037,0.565217391304348
2015-12-23,0.794871794871795,0.692307692307692,0.583333333333333
2015-12-25,0.5,0.75,0
2015-12-26,1,0,1
2015-12-27,0.916666666666667,0.833333333333333,0.5
2015-12-28,0.75609756097561,0.731707317073171,0.363636363636364
2015-12-29,0.766666666666667,0.716666666666667,0.411764705882353
2015-12-30,0.861538461538462,0.784615384615385,0.642857142857143
2015-12-31,0.794117647058824,0.676470588235294,0.454545454545455
2016-01-01,0.666666666666667,0.555555555555556,0.25
2016-01-02,0.75886524822695,0.709219858156028,0.536585365853659
2016-01-03,0.56,0.56,0.272727272727273
2016-01-04,0.766666666666667,0.633333333333333,0.454545454545455
2016-01-05,0.65625,0.78125,0.285714285714286
2016-01-06,0.666666666666667,0.701754385964912,0.235294117647059
2016-01-07,0.690909090909091,0.727272727272727,0.333333333333333
2016-01-08,0.666666666666667,0.666666666666667,0.5
2016-01-10,0.8125,0.8125,0.333333333333333
2016-01-11,0.666666666666667,0.666666666666667,0.428571428571429
2016-01-12,0.612903225806452,0.645161290322581,0.454545454545455
2016-01-13,0.658536585365854,0.682926829268293,0.153846153846154
2016-01-14,0.628571428571429,0.671428571428571,0.347826086956522
